date,name,ticker,price,change,change_pct
2026-06-03,코스피,^KS11,8801.49,13.11,0.15
2026-06-03,원달러,KRW=X,1518.69,7.42,0.49
2026-06-03,삼성전자,005930.KS,360500.0,11500.0,3.3
2026-06-03,SK하이닉스,000660.KS,2360000.0,-3000.0,-0.13
2026-06-04,코스피,^KS11,8739.35,-62.14,-0.71
2026-06-04,원달러,KRW=X,1516.6,0.0,0.0
2026-06-04,삼성전자,005930.KS,365000.0,4500.0,1.25
2026-06-04,SK하이닉스,000660.KS,2314000.0,-46000.0,-1.95
2026-06-05,코스피,^KS11,8160.52,0.0,0.0
2026-06-05,원달러,KRW=X,1540.18,10.07,0.66
2026-06-05,삼성전자,005930.KS,330000.0,-21500.0,-6.12
2026-06-05,SK하이닉스,000660.KS,2113000.0,-185000.0,-8.05
2026-06-06,코스피,^KS11,nan,nan,nan
2026-06-06,원달러,KRW=X,1558.84,25.77,1.68
2026-06-06,삼성전자,005930.KS,329000.0,-22500.0,-6.4
2026-06-06,SK하이닉스,000660.KS,2070000.0,-228000.0,-9.92
2026-06-07,코스피,^KS11,8160.59,-478.82,-5.54
2026-06-07,원달러,KRW=X,1558.84,25.77,1.68
2026-06-07,삼성전자,005930.KS,329000.0,-22500.0,-6.4
2026-06-07,SK하이닉스,000660.KS,2070000.0,-228000.0,-9.92
2026-06-10,코스피,^KS11,7484.41,0.0,0.0
2026-06-10,원달러,KRW=X,1524.98,-29.5,-1.9
2026-06-10,삼성전자,005930.KS,322000.0,26500.0,8.97
2026-06-10,SK하이닉스,000660.KS,2215000.0,304000.0,15.91
2026-06-11,코스피,^KS11,7478.98,0.0,0.0
2026-06-11,원달러,KRW=X,1525.58,-0.23,-0.02
2026-06-11,삼성전자,005930.KS,290500.0,-12000.0,-3.97
2026-06-11,SK하이닉스,000660.KS,2015000.0,-33000.0,-1.61
2026-06-16,코스피,^KS11,8123.62,0.0,0.0
2026-06-16,원달러,KRW=X,1513.89,-3.49,-0.23
2026-06-16,삼성전자,005930.KS,337000.0,14500.0,4.5
2026-06-16,SK하이닉스,000660.KS,2288000.0,138000.0,6.42
2026-06-17,코스피,^KS11,8545.98,0.0,0.0
2026-06-17,원달러,KRW=X,1508.48,-1.02,-0.07
2026-06-17,삼성전자,005930.KS,343000.0,6000.0,1.78
2026-06-17,SK하이닉스,000660.KS,2382000.0,94000.0,4.11
2026-06-19,코스피,^KS11,8864.24,0.0,0.0
2026-06-19,원달러,KRW=X,1537.46,26.5,1.75
2026-06-19,삼성전자,005930.KS,362500.0,16000.0,4.62
2026-06-19,SK하이닉스,000660.KS,2685000.0,164000.0,6.51
2026-06-20,코스피,^KS11,nan,nan,nan
2026-06-20,원달러,KRW=X,1529.89,4.47,0.29
2026-06-20,삼성전자,005930.KS,354000.0,-8500.0,-2.34
2026-06-20,SK하이닉스,000660.KS,2764000.0,79000.0,2.94
2026-06-21,코스피,^KS11,9052.42,-11.42,-0.13
2026-06-21,원달러,KRW=X,1529.89,4.47,0.29
2026-06-21,삼성전자,005930.KS,354000.0,-8500.0,-2.34
2026-06-21,SK하이닉스,000660.KS,2764000.0,79000.0,2.94
2026-06-23,코스피,^KS11,9052.42,0.0,0.0
2026-06-23,원달러,KRW=X,1537.55,-0.01,-0.0
2026-06-23,삼성전자,005930.KS,353500.0,-500.0,-0.14
2026-06-23,SK하이닉스,000660.KS,2919000.0,155000.0,5.61
2026-06-28,코스피,^KS11,8411.21,-519.09,-5.81
2026-06-28,원달러,KRW=X,1535.0,-7.76,-0.5
2026-06-28,삼성전자,005930.KS,339500.0,-19000.0,-5.3
2026-06-28,SK하이닉스,000660.KS,2673000.0,-244000.0,-8.36
2026-07-02,코스피,^KS11,7795.78,0.0,0.0
2026-07-02,원달러,KRW=X,1554.58,5.97,0.39
2026-07-02,삼성전자,005930.KS,290500.0,-24000.0,-7.63
2026-07-02,SK하이닉스,000660.KS,2336000.0,-224000.0,-8.75
2026-07-03,코스피,^KS11,7576.07,-72.02,-0.94
2026-07-03,원달러,KRW=X,1542.88,-8.93,-0.58
2026-07-03,삼성전자,005930.KS,292000.0,6000.0,2.1
2026-07-03,SK하이닉스,000660.KS,2139000.0,-48000.0,-2.19
